1;1;2;450
2;2;3;170
3;3;4;330
4;4;5;70
5;5;6;240
6;6;7;270
7;7;8;250
8;8;9;250
9;9;10;330
10;10;11;230
11;11;12;330
12;12;13;240
13;13;14;240
14;14;15;300
15;15;16;170
16;16;1;450
17;11;20;360
18;20;21;290
19;10;27;300
20;27;28;290
21;28;7;100
22;28;29;280
23;29;6;290
24;21;33;100
25;26;29;170
26;14;18;270
27;18;21;390
28;18;17;230
29;15;17;160
30;17;19;230
31;19;34;280
32;34;21;160
33;25;26;160
34;22;35;90
35;23;22;130
36;24;25;90
37;23;24;70
38;19;23;220
39;23;1;470
40;24;30;130
41;30;2;330
42;30;31;170
43;31;3;200
44;31;32;160
45;32;5;170
46;32;4;70
47;34;35;60
48;33;35;70
49;35;26;110
50;22;25;80
